customer_id,first_name,last_name,gender,age,dob,email,phone_number,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value
19,Jeffrey,Snyder,Other,32,1992-10-07,alisha35@yahoo.com,+1-405-985-6259x210,0,1080,9,0,2021-04-24,43,7.6
20,Robert,Mccoy,Male,49,1975-04-01,nmcdonald@hotmail.com,287.941.9880,0,1412,1,1,2021-12-12,46,397.91
21,Jim,Morris,Male,29,1996-02-04,xwilson@bell-frye.net,+1-489-383-9632,1,1248,9,1,2021-04-28,20,27.7
22,Andrew,Walters,Male,65,1959-08-29,ycrane@beltran.org,107.441.8478x7750,1,484,10,1,2022-10-04,16,484.66
23,Richard,White,Other,52,1972-04-06,michelle96@schmidt.org,506-404-4235x412,0,120,4,0,2022-04-06,8,281.08
24,Rachel,Durham,Female,68,1956-08-19,amanda84@floyd.com,001-571-165-4916x02999,0,976,1,0,2021-09-09,2,434.4
25,Jessica,Johnson,Female,54,1971-01-09,matthew53@kirk.com,1454539695,0,1088,4,0,2022-05-04,21,366.07
26,Brittany,Carlson,Male,51,1973-02-26,tonyacollier@gmail.com,949.717.5684,0,1350,10,1,2023-11-25,6,181.61
27,Catherine,Martin,Female,18,2006-06-04,danny06@smith.com,337-092-5502x21233,0,830,4,0,2021-08-04,15,344.13
28,David,Medina,Male,29,1995-03-12,brownryan@olsen.com,150.260.4385x68516,0,294,8,0,2022-09-26,25,129.46
29,Robert,Hays,Other,19,2005-12-15,wlewis@gmail.com,001-906-536-6215x845,0,563,8,0,2022-11-21,40,74.96
30,Alan,Bowen,Female,57,1967-09-30,peterwashington@hotmail.com,(185)846-9367x57738,0,193,2,0,2023-11-12,42,462.93
31,Kim,Turner,Female,70,1955-01-24,matthew25@davis.com,+1-140-357-6721,1,696,2,0,2023-07-11,42,398.29
32,Mary,Drake,Male,52,1973-01-10,sallen@hunt.com,4670445956,1,461,1,0,2023-12-31,29,76.23
33,Erica,Huang,Male,24,2000-05-08,cthompson@black.com,001-929-421-6702x21193,0,409,5,1,2021-06-07,28,117.62
34,Hannah,Cochran,Female,61,1963-12-23,rrivers@stephens.com,(954)236-6409x863,1,1818,4,1,2020-05-25,31,426.74
35,Angela,Dixon,Other,19,2005-06-19,deborahbrown@wright-clark.com,(817)454-2243x99922,0,1495,5,0,2020-10-24,23,437.62
36,Mary,Daniels,Male,37,1988-02-08,scottpearson@kennedy.com,(254)730-3297,1,1819,9,0,2022-05-13,36,299.27
37,Kayla,Holland,Male,70,1954-06-17,shane45@gonzalez-campos.biz,(995)165-0107x35948,1,368,2,0,2020-04-27,50,112.07
38,Kimberly,Rice,Female,57,1967-09-27,martineric@yahoo.com,(967)569-3088x86359,1,1416,10,1,2020-02-26,9,427.98
39,Christopher,Thompson,Male,47,1977-04-21,jasonpatterson@kramer.info,(045)279-4995x231,1,896,9,0,2021-03-27,25,126.05
40,Ronald,Green,Male,35,1989-04-18,lcooper@gmail.com,1985654503,0,258,4,0,2024-12-23,26,43.31
41,Jennifer,Hammond,Other,63,1961-06-27,ihowell@yahoo.com,(864)615-9005,0,318,6,0,2023-01-08,13,363.59
42,Brandi,Cross,Male,26,1998-09-08,hansonlisa@thomas-jarvis.org,656.444.5903x0109,1,1496,5,0,2023-07-16,26,412.11
43,Christopher,Nicholson,Other,20,2004-06-06,copelandsamantha@hotmail.com,1918454796,1,1412,1,0,2020-11-11,18,280.75
44,Michelle,Ruiz,Male,40,1984-03-10,vkidd@kramer-zuniga.com,690.943.6546x6948,1,503,5,1,2021-01-22,6,402.05
45,Tammy,Palmer,Female,59,1965-07-17,brownangela@medina.org,205.417.1816x434,0,1083,6,0,2022-07-26,14,358.9
46,Michael,Clark,Female,70,1954-07-05,nbradley@yahoo.com,+1-455-798-6207x0477,0,1174,10,1,2021-12-05,36,340.74
47,Wendy,Wong,Other,62,1962-07-15,mjimenez@hotmail.com,879-890-6768x702,1,222,10,1,2020-03-11,4,201.16
48,Kendra,Trevino,Male,36,1988-04-21,mary15@davis-west.com,+1-341-800-5854x6606,0,763,8,0,2021-06-02,34,240.71
49,Alex,Hall,Female,70,1954-03-06,villadeanna@taylor.com,134.245.9345x789,0,1775,7,1,2021-11-27,13,14.25
50,Steven,West,Female,69,1955-05-20,ustrong@hotmail.com,714.191.6397,0,1019,6,1,2023-12-08,21,247.84
51,Thomas,Turner,Male,32,1993-02-14,lindsey28@lamb-jackson.biz,+1-809-083-8583x723,1,119,1,1,2023-08-28,30,280.44
52,Robert,Allen,Male,44,1981-01-31,brios@gmail.com,612.325.6473x96931,0,1199,10,0,2024-12-10,8,186.13
53,Robert,Smith,Male,70,1954-05-14,roserita@gmail.com,062.470.0881,0,253,5,0,2020-11-09,47,164.12
54,Bonnie,Beck,Male,67,1957-04-26,halenathan@edwards-clark.biz,8887032531,0,652,7,1,2023-10-16,43,481.73
55,Samantha,Sanchez,Female,36,1988-06-12,brennanbrandon@hill.info,857-086-0780x15912,1,253,9,0,2020-02-03,45,270.7
56,Jody,Mcbride,Male,51,1973-11-26,katherinehudson@contreras-powell.com,(274)362-2029x086,1,934,5,0,2024-02-29,43,137.61
57,Jackie,Hawkins,Male,66,1958-12-02,warddavid@villanueva.biz,1009247731,1,881,9,0,2021-10-29,49,270.34
58,Lucas,Rose,Other,30,1994-12-08,georgejames@anderson.biz,071.239.1977x7354,0,1121,1,0,2023-06-23,33,51.91
59,Erika,Werner,Female,56,1968-07-22,hodgesharon@gmail.com,666.790.8693,1,1029,7,0,2021-04-11,35,17.14
60,Tiffany,Martinez,Male,52,1972-03-27,christopher25@williams.com,811-894-5283x2770,1,587,8,1,2023-11-27,19,415.09
61,Julie,Henderson,Male,26,1999-02-01,mmorales@gmail.com,+1-381-215-8859x250,1,864,5,1,2022-08-10,4,56.66
62,Cheryl,Whitney,Other,24,2000-08-01,jmatthews@cox.biz,(799)057-1988x58463,0,984,9,1,2023-09-20,21,18.73
63,Dustin,Turner,Other,44,1980-07-14,smithbrian@hotmail.com,9709656457,0,506,5,0,2024-04-07,15,452.03
64,Emma,Garner,Female,36,1988-02-26,robertstyler@yahoo.com,001.609.0963x9947,1,181,5,0,2022-03-06,39,183.21
65,Lisa,Douglas,Other,31,1994-01-21,michelle49@gmail.com,(826)307-2929x206,1,1815,3,0,2023-10-11,27,225.17
66,Christine,Kent,Female,64,1960-10-21,ebony64@hotmail.com,+1-366-333-7844x4189,1,349,10,1,2024-09-06,47,236.76
67,Lisa,Kidd,Female,38,1986-05-12,jameshale@yahoo.com,+1-240-377-3144,1,1294,9,0,2021-10-02,32,424.82
68,Natasha,Wright,Female,56,1968-09-08,bonnie30@nielsen.com,001-382-017-6520x818,0,1010,6,0,2024-06-26,24,395.23
69,Sean,Mccormick,Male,54,1971-01-26,inewman@hotmail.com,527-004-0172x23970,1,503,7,1,2021-11-22,13,387.65
70,Kendra,Chapman,Other,29,1995-07-15,erica71@yahoo.com,001-238-377-3797,1,211,10,1,2022-03-18,49,100.71
71,Nichole,Weaver,Other,56,1969-02-15,russellbrandi@neal.net,+1-174-366-3044,1,1192,2,0,2020-10-14,32,351.71
72,David,Lewis,Other,55,1969-07-01,tbartlett@walton-fisher.info,7358737621,1,73,8,1,2024-12-14,43,97.51
73,Alexis,Johnson,Other,65,1959-12-03,jennifer70@gmail.com,+1-776-653-8690,1,891,3,0,2022-06-08,39,372.71
74,John,Ponce,Male,61,1964-02-19,donna76@jarvis-robinson.com,805-865-6279,1,1372,5,0,2021-02-26,34,11.52
75,Thomas,Franklin,Other,33,1991-09-20,tonystafford@yahoo.com,001-521-039-7313x0931,1,991,8,1,2020-02-14,16,474.93
76,Sean,Lawrence,Male,32,1992-02-29,jonesemily@smith-allen.com,(300)103-0577,1,945,10,0,2021-05-13,12,89.94
77,Pamela,Joyce,Other,69,1955-11-10,nbates@abbott.com,458.109.7971x468,0,293,5,1,2023-04-30,29,217.0
78,Cynthia,Knox,Other,42,1982-03-02,edward32@white.com,589.928.6159x5040,1,1386,8,1,2021-11-09,47,498.95
79,Heather,Campbell,Other,53,1971-04-04,yjohnson@khan.net,120.457.0523,1,885,10,1,2023-09-08,42,207.23
80,Amanda,Wilson,Other,66,1958-09-12,scobb@gmail.com,+1-549-500-8676x0084,1,1132,1,0,2020-03-25,10,415.06
81,Scott,Bishop,Other,28,1997-01-30,bennettmatthew@simpson.info,726.570.9248x2172,0,212,8,1,2020-09-27,45,479.04
82,Ronald,Williams,Male,64,1960-05-18,melanietaylor@hotmail.com,869-626-9149,0,1539,4,1,2021-02-07,5,364.26
83,Shannon,Ali,Other,45,1979-03-26,rosskara@hotmail.com,+1-022-808-6330x3372,0,939,3,0,2024-06-11,40,52.88
84,Joseph,Wilkinson,Female,39,1985-05-21,owalker@gmail.com,003-236-0931x2580,0,1522,9,1,2023-05-04,8,304.54
85,Wendy,Wagner,Other,41,1983-10-04,jesse47@hotmail.com,001-431-398-0343x458,0,606,1,1,2022-01-12,36,320.32
86,Christine,Wright,Other,38,1986-03-05,calhounalexander@gmail.com,+1-139-192-5960x075,0,52,7,1,2020-03-04,10,152.59
87,Christopher,Bell,Male,60,1964-09-17,avilakathryn@gmail.com,916-861-2602,1,1393,6,1,2023-12-09,31,208.13
88,Dale,Thomas,Female,33,1991-12-09,williamalvarado@wilson.com,(863)899-4950x9353,0,1292,10,0,2024-06-26,46,452.39
89,Paula,Thornton,Female,63,1961-12-07,butlercolton@murray-reynolds.com,001-126-689-2088x58032,0,1529,6,1,2021-10-28,18,303.98
90,Douglas,Cooley,Male,62,1962-06-15,elliscindy@hotmail.com,435-896-3756x13833,0,1315,6,0,2024-09-19,17,151.58
91,Richard,Moore,Female,30,1995-02-10,barnesjason@howard.info,901.337.8795x56635,1,1370,9,1,2022-11-05,21,157.93
92,Jeffrey,Pierce,Female,61,1964-02-23,brownjoseph@clark.info,471.072.9853,1,1722,5,1,2022-11-17,41,280.74
93,Courtney,Steele,Other,53,1972-01-21,uhudson@brown.info,093.502.8072,1,1378,5,0,2020-07-05,2,238.14
94,Monica,Watson,Other,48,1976-12-21,bleach@hotmail.com,+1-512-735-0414x0973,1,1211,4,0,2022-07-06,21,451.29
95,Daniel,Villarreal,Male,63,1962-01-08,browngeorge@flowers-goodman.com,940.938.6765x690,0,1194,2,0,2023-07-23,22,431.94
96,Jose,Moses,Male,56,1969-02-14,zmiller@mcbride-edwards.info,001-949-863-5822x25320,0,1139,10,1,2023-03-10,3,349.22
97,Daniel,Willis,Male,62,1963-01-22,tammy46@moyer.net,353-195-2470x68685,1,291,8,1,2023-04-27,3,293.58
98,Sherri,David,Other,28,1996-11-24,qmiller@obrien-perez.info,+1-538-460-1772x27004,1,1541,6,1,2024-05-29,23,209.68
99,Dawn,Chambers,Male,23,2001-05-11,johnsonrobert@yahoo.com,001-281-180-0604x9290,1,323,1,0,2021-06-20,29,393.4
100,John,Anderson,Other,46,1978-03-24,jgarcia@knapp-powell.info,138.587.7367x003,0,38,2,0,2020-11-13,38,374.68
101,Sierra,King,Male,21,2003-07-11,greenelori@gmail.com,913-052-7572x76203,0,194,4,1,2021-06-15,34,190.8
102,Timothy,Ward,Other,33,1991-05-02,kdavenport@yahoo.com,873.784.6501,1,1255,8,0,2023-08-18,17,432.37
103,Christopher,White,Female,56,1968-07-03,marygonzalez@gmail.com,(015)033-0341x479,0,1700,1,1,2020-12-24,20,45.08
104,Stephen,Nichols,Female,26,1998-06-18,pjohnson@gmail.com,842-077-2340x30668,1,852,5,1,2023-10-24,47,108.89
105,Ryan,Hayes,Male,37,1987-06-25,hodgesjeffrey@ramos.info,001-601-019-6868x36450,1,1181,7,0,2020-12-29,16,320.14
106,Charlotte,Duncan,Male,45,1979-08-28,smithdenise@hotmail.com,(006)632-7295,0,551,10,0,2024-10-20,11,495.87
107,Tanner,Wood,Male,38,1986-10-31,robertbaxter@gmail.com,7013829471,1,1369,4,0,2020-04-24,12,132.41
108,April,Calhoun,Other,47,1977-04-02,derek02@gmail.com,001-335-036-0499x037,1,900,1,0,2020-05-28,5,170.56
109,James,Hull,Female,39,1985-07-02,maxwell75@scott.net,(245)225-0975x260,0,319,5,0,2023-07-30,19,306.01
110,Heidi,Wright,Female,61,1963-11-06,contrerasbrandi@hotmail.com,644-559-1572x462,0,21,9,1,2023-12-29,47,450.63
111,Erin,Black,Male,67,1957-06-10,zoe17@nelson.com,001-744-786-8281x31940,0,533,3,1,2021-04-09,20,458.5
112,Amanda,Webster,Other,44,1980-04-14,gmiller@hotmail.com,+1-266-277-1069x0487,1,1346,10,0,2021-06-13,11,243.42
113,Christina,Jenkins,Female,50,1974-08-01,brownchristine@yahoo.com,+1-666-937-5040x096,1,953,4,0,2021-06-13,39,264.96
114,Jessica,Allison,Other,50,1974-10-30,dcain@hotmail.com,553-591-1862x4896,1,794,10,0,2021-02-22,43,442.33
115,Andrew,Burgess,Female,18,2006-07-02,bradleymegan@hotmail.com,944-853-2807,0,715,3,1,2020-04-16,10,484.48
116,Dale,Burnett,Male,32,1993-01-24,jennifer76@yahoo.com,+1-087-360-4745,0,836,4,1,2023-11-13,10,417.91
117,Rebecca,Barnes,Other,45,1979-06-23,gmendoza@yahoo.com,7463101529,1,851,4,0,2021-01-05,47,93.86
118,David,Liu,Other,38,1986-05-18,obriendaniel@powell-mcbride.com,342-705-3578,0,1775,6,1,2020-11-29,46,347.45
119,Ashley,Owens,Other,20,2004-03-16,pturner@gmail.com,572.919.8244,0,436,10,0,2024-08-21,7,411.59
120,Dylan,Phillips,Female,64,1960-11-09,craig88@yahoo.com,+1-686-517-3019x69882,1,374,9,0,2022-10-08,41,263.66
121,Sharon,Nguyen,Female,19,2005-11-19,elliswilliam@gmail.com,301-410-5746x90507,0,495,5,1,2021-01-26,7,57.65
122,Kyle,Rodriguez,Other,68,1956-07-09,matthew80@hotmail.com,001-774-360-0240,0,1536,10,0,2023-01-11,24,385.04
123,Eugene,Tapia,Male,60,1964-05-31,donnaanderson@jordan.biz,(514)571-6978x16899,1,183,10,0,2024-01-08,14,187.51
124,Edward,Hernandez,Other,30,1994-05-28,murrayemily@yahoo.com,449.915.5604,0,580,10,0,2023-01-27,31,400.09
125,David,Hendricks,Female,41,1983-07-04,mramirez@murphy.org,001-133-396-8149x528,1,88,5,1,2021-10-30,21,57.19
126,April,Hunter,Female,40,1984-04-21,nichole55@gmail.com,(072)704-5492,1,589,3,1,2022-01-04,7,173.4
127,Erin,Henson,Other,48,1976-11-03,antonio94@yahoo.com,4379145001,0,1712,4,1,2020-08-12,32,428.46
128,Lisa,Cross,Female,48,1977-02-10,andersonjulie@andrews.com,001-336-156-8121x733,0,999,10,1,2023-01-16,41,285.92
129,Ernest,Kim,Male,54,1970-11-16,cherryjennifer@gmail.com,2415110464,0,881,10,1,2022-06-18,8,92.49
130,Eric,Davis,Other,25,1999-04-20,millerbreanna@meyers.net,000-015-6429,1,1071,5,1,2021-07-23,41,307.79
131,Daniel,Gomez,Female,56,1969-01-12,corey39@yahoo.com,001-327-959-4060x7237,0,176,3,0,2021-01-01,11,323.96
132,Bradley,Little,Other,22,2002-11-27,rachel02@yahoo.com,(759)607-5138x236,0,1291,6,1,2024-10-31,49,133.63
133,Erin,Ware,Female,49,1975-06-10,bellvanessa@hotmail.com,373.344.0741x10137,1,530,6,1,2023-11-18,18,235.41
134,Angela,Davis,Male,38,1986-07-01,leelisa@cooper.com,9454760415,0,992,1,1,2021-04-01,27,80.82
135,Cindy,Johnson,Male,63,1961-05-06,virginiabates@miller.biz,7488059835,0,233,8,0,2021-09-19,47,284.08
136,Mario,Smith,Male,34,1990-08-25,xmckinney@gmail.com,440-215-8420,1,970,4,0,2022-04-10,32,302.56
137,Anna,Brown,Female,20,2004-07-14,breanna92@hansen.com,744-316-0680,1,1091,1,0,2021-12-19,14,12.63
138,Kenneth,White,Female,57,1967-12-19,gilmoredavid@franklin.net,+1-398-768-4633x9088,1,26,6,0,2021-02-03,12,400.49
139,Scott,Morse,Other,49,1975-05-22,zdavila@gmail.com,5767431573,1,1232,7,0,2022-11-28,26,480.51
140,Charles,Davis,Female,30,1994-12-18,wgordon@gmail.com,254.199.1901x42107,0,108,2,0,2023-10-15,3,139.78
141,Nicholas,Garcia,Other,33,1991-11-08,lesterjason@fields.com,(369)646-6935x04489,1,1785,10,0,2020-04-17,29,363.21
142,Maria,Sandoval,Other,65,1959-02-27,ythomas@yahoo.com,+1-147-620-7411,0,1517,10,0,2023-07-17,29,93.61
143,Hannah,Simmons,Female,54,1970-10-13,christopher93@gmail.com,+1-103-218-7193x42099,0,367,1,0,2023-02-26,45,144.56
144,William,Griffin,Other,50,1974-04-01,nmorris@hotmail.com,(764)203-8340x7835,0,144,8,1,2022-02-21,43,409.59
145,Michelle,Warren,Male,63,1961-08-19,alexandriamoore@yahoo.com,9991265689,1,1347,6,1,2022-09-19,9,394.74
146,Steven,Kelly,Male,41,1983-04-19,uhill@hotmail.com,+1-875-446-2594x5737,1,3,2,1,2021-11-18,30,361.79
147,David,Garcia,Other,29,1995-04-20,robertsjoseph@christian.com,+1-858-153-1560,0,1732,6,0,2020-05-08,14,460.19
148,David,Elliott,Female,52,1972-09-15,kelly34@williams-bishop.com,512-520-9385x37414,1,522,7,0,2022-08-30,20,433.38
149,Kathy,Moore,Other,31,1993-05-04,wattsalexander@williams.com,584.099.4991x577,1,1291,7,0,2022-10-26,50,280.97
150,Christopher,Smith,Female,24,2001-01-08,twise@gmail.com,(599)081-2472,0,35,10,0,2020-04-12,5,315.82
151,Maria,Walker,Female,59,1966-01-31,mrose@garcia.com,224.068.4302,1,69,4,0,2021-11-20,46,203.44
152,Carrie,Peters,Female,50,1975-02-20,bushmckenzie@church.com,782.429.8364x14079,1,1592,3,1,2021-06-01,40,114.13
153,Lisa,Kirby,Male,31,1994-01-06,rogersrobin@garza-park.com,001-478-986-1287,1,763,1,1,2022-08-08,30,170.25
154,Jesse,Bowen,Other,57,1967-09-19,danielcarroll@hotmail.com,360-634-0510x74754,1,1766,1,1,2024-01-05,14,381.9
155,Michael,Knight,Female,64,1961-01-25,anthony08@gmail.com,519-511-9098x16996,1,375,5,1,2021-03-13,18,116.92
156,Randall,Lewis,Other,33,1991-10-30,mariah05@cole.com,+1-534-720-0992x84935,0,1207,4,0,2022-10-11,49,89.75
157,Carol,Hall,Female,59,1966-01-31,barbara37@hotmail.com,266-791-0436x1977,1,767,9,0,2021-09-20,39,70.34
158,Zachary,Mccormick,Male,27,1997-11-08,thomasanderson@gmail.com,464-383-6187,0,1103,2,0,2020-04-02,6,148.49
159,Shaun,Quinn,Female,33,1991-09-01,jessica76@gmail.com,(186)231-8054,1,1366,4,1,2022-12-24,44,485.87
160,John,Brown,Male,41,1983-03-07,mallory32@yahoo.com,9863051568,1,1583,9,0,2021-06-15,29,132.07
161,Ronald,Rodriguez,Male,56,1969-01-21,utaylor@gmail.com,+1-844-107-2932,1,1446,8,0,2020-05-26,14,78.72
162,Michael,Smith,Other,49,1975-03-18,kathryn90@gmail.com,150.138.8319x6261,0,1411,9,1,2023-02-19,18,166.44
163,Roger,Montoya,Male,59,1965-09-12,rrivers@becker.net,(494)428-5462,1,195,1,1,2022-08-28,37,188.99
164,Alexander,Mccormick,Male,34,1990-04-10,umalone@hotmail.com,+1-594-515-4598x46872,0,1198,9,1,2020-12-08,11,463.54
165,Kimberly,Wright,Other,42,1982-03-07,robert65@sullivan.biz,9899052054,0,437,10,1,2023-11-12,40,398.67
166,Gregory,Caldwell,Female,68,1956-04-06,robertedwards@yahoo.com,173.835.6669,0,1042,2,1,2024-02-12,39,44.35
167,Tricia,Potts,Female,34,1990-12-08,rayaimee@patton.com,442-418-5847,0,479,1,1,2023-07-24,28,466.13
168,Kathy,Reyes,Other,19,2005-09-20,jonroberson@yahoo.com,(180)490-6364x62313,0,1228,2,1,2022-05-04,28,19.94
169,Peter,Smith,Other,62,1962-08-19,cynthia00@hotmail.com,+1-083-449-7057x10012,1,1490,3,0,2020-07-12,4,54.65
170,Kristopher,Ray,Female,66,1958-06-03,rbaker@alvarez.com,9442783270,1,370,8,1,2024-01-20,18,353.79
171,Nicole,Burns,Female,34,1990-11-06,george54@kelly.info,(126)764-6022,0,811,4,1,2022-04-19,25,390.67
172,Robert,Escobar,Male,30,1994-08-19,michele51@hotmail.com,(705)483-2394x802,1,254,6,0,2022-01-25,49,479.64
173,April,Flores,Other,70,1954-04-12,sbartlett@gmail.com,(654)844-8699x7686,1,1507,1,1,2021-07-17,44,6.52
174,Christine,Browning,Female,50,1974-06-22,gerald24@long.com,001-947-211-4877x521,0,1629,1,0,2020-05-11,17,393.29
175,April,Banks,Male,42,1982-03-03,smithchristopher@rose-lewis.info,+1-265-475-2088,1,1405,2,1,2022-03-20,47,6.89
176,Tiffany,Garcia,Male,53,1971-10-11,ijenkins@yahoo.com,176-573-0752,1,972,4,0,2020-11-09,26,397.82
177,Danielle,Harrington,Other,57,1967-02-27,petersmichael@hotmail.com,+1-497-080-6510x845,1,1067,3,0,2022-01-08,23,41.2
178,Sherry,Grimes,Female,64,1960-07-20,elizabeth15@erickson.org,6139910800,0,439,5,0,2020-05-02,28,275.25
179,Christopher,Flores,Male,52,1973-01-31,heather50@andrade-ho.org,482.807.4000x3686,0,391,7,0,2020-05-20,39,353.83
180,Danny,Cooper,Female,57,1967-11-03,rmckinney@martin-allen.com,001-984-006-6957x47821,0,967,2,0,2024-09-16,44,408.76
181,Jennifer,Mckay,Other,37,1987-12-19,danielwalsh@yahoo.com,7411937525,0,1737,6,1,2020-04-05,20,468.22
182,Brandon,Cunningham,Female,35,1989-09-13,garciajohn@lloyd-townsend.com,001-961-252-4693x588,0,678,3,1,2023-01-11,38,453.03
183,Shannon,Yang,Other,34,1990-05-08,millerlarry@powell.net,001-547-163-3232x9427,1,814,8,1,2022-06-10,21,235.63
184,Karen,Douglas,Other,49,1975-06-12,joe12@yahoo.com,560-445-6410x361,0,1113,6,0,2022-11-16,25,189.39
185,Nicholas,Johnston,Female,20,2004-08-24,matthewperry@yahoo.com,+1-405-386-9845x678,1,1689,9,0,2020-11-27,31,372.29
186,Cynthia,Buck,Female,31,1994-01-13,james45@hotmail.com,456.180.8504x2213,1,1150,2,0,2021-05-04,16,222.75
187,Peter,Owens,Other,62,1962-04-02,nblack@dougherty.biz,621-525-4567,0,972,6,0,2024-08-06,13,148.98
188,Jamie,Harmon,Female,49,1975-10-16,nelsonkristine@moyer.com,001-105-328-1298,0,630,9,0,2021-04-10,47,39.57
189,Daniel,Parrish,Other,51,1973-11-14,dhebert@wells-davis.com,(576)006-3046x663,0,1460,7,0,2021-07-10,23,491.24
190,Danny,Gibbs,Female,52,1973-02-05,mark43@soto.com,469-907-2530x1814,1,373,6,0,2021-01-05,11,462.69
191,Monica,Chandler,Female,57,1968-02-23,tstevens@hotmail.com,+1-796-688-3539x3445,0,1601,8,0,2022-11-03,3,292.57
192,Daniel,Obrien,Other,18,2006-05-07,melinda47@hotmail.com,+1-787-024-0391x530,1,845,1,0,2023-01-27,11,210.94
193,Wendy,Rocha,Female,21,2003-09-09,austin28@gmail.com,(854)057-2244x544,0,1670,2,0,2022-10-31,34,491.33
194,John,Johnson,Other,29,1995-05-10,rwilliams@wilson.com,+1-493-908-1918x71272,1,1215,2,1,2020-11-22,43,490.24
195,Richard,Hernandez,Other,18,2006-11-14,ywhite@perez.com,(217)864-0100,1,974,3,1,2023-06-19,29,64.7
196,Jeff,Owens,Other,33,1991-11-08,hwright@gmail.com,126-579-4618x787,0,904,7,1,2022-08-15,8,60.28
197,Charles,Parker,Male,40,1984-05-08,pittsalfred@santiago.com,(126)669-2106x730,1,1179,8,1,2021-10-23,39,382.07
198,David,Hess,Other,25,2000-01-16,garrisondaniel@gmail.com,681.307.8452x260,1,1214,10,0,2022-01-11,28,358.3
199,Chad,Burgess,Other,62,1962-10-09,tiffany82@hotmail.com,390.906.8435,1,687,8,0,2022-05-19,40,378.22
200,Bryan,Baxter,Female,36,1988-04-19,harold21@rodriguez-reed.com,1523955063,0,100,8,1,2021-11-27,27,403.01
201,Jennifer,Brown,Male,70,1954-06-22,jprice@gmail.com,458-102-9491x186,0,1088,4,0,2020-09-27,16,93.57
202,Jessica,Allen,Male,22,2002-12-14,zbooker@hotmail.com,3910963491,1,451,6,1,2022-07-08,31,334.0
203,Jared,Berry,Female,44,1980-06-30,isaiahrodriguez@hotmail.com,464.061.7156x51741,0,586,3,0,2023-09-01,39,235.62
204,James,Cohen,Female,21,2003-03-01,nicholastorres@smith.com,063.704.8806x75503,1,1644,4,0,2021-01-25,50,290.52
205,Shelby,Gardner,Female,18,2006-11-14,dweber@jones.com,(872)196-6140x01492,1,1237,5,1,2024-08-07,38,172.93
206,Nicole,Salazar,Female,19,2005-11-23,susandixon@flores.com,(623)807-1059,1,1107,9,0,2023-03-21,47,354.9
207,Cheryl,Pace,Female,52,1972-03-26,damon28@yahoo.com,680.888.8450x31017,0,1484,6,0,2024-06-26,7,117.04
208,Steven,Davidson,Other,34,1990-06-03,olivia09@hotmail.com,197-869-8543x64729,1,1192,1,0,2022-01-11,39,230.61
