,invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date,payment_id,payment_method,card_type,Unnamed: 3,shopping_mall,city,province_state,country,first_name,last_name,gender,age,dob,email,phone_number,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value
17,100017,Hair Care,Hair Oil,4,19.32,59,711,2023-03-10,4,Debit Card - Visa,Visa,,The Streets at Southpoint,Durham,North Carolina,US,Kelly,Shaw,Female,42.0,1982-07-16,vpatterson@snyder.biz,(712)398-6238x7109,1.0,1445.0,1.0,0.0,2023-07-02,37.0,143.09
18,100018,Hair Care,Shampoo,1,9.44,10,932,2020-07-20,10,Google Pay,,,South Coast Plaza,Costa Mesa,California,US,Tara,Pierce,Other,65.0,1959-03-08,wfranco@gmail.com,994.691.3565x05425,1.0,962.0,5.0,1.0,2021-08-16,4.0,147.26
19,100019,Body Care and Hygiene,Body Lotion,2,21.05,17,362,2021-11-15,8,BNPL (Buy Now, Pay Later),,Lakeside Shopping Centre,Thurrock,Essex,UK,Janice,James,Female,63.0,1961-12-16,wolfwilliam@yahoo.com,5949917974,0.0,765.0,9.0,1.0,2023-10-02,34.0,121.43
20,100020,Hair Care,Hair Oil,4,48.02,39,586,2024-03-07,5,Debit Card - MasterCard,MasterCard,,Scottsdale Fashion Square,Scottsdale,Arizona,US,Mariah,Dunn,Female,36.0,1988-08-04,xfernandez@yahoo.com,001-869-059-2402x30677,1.0,862.0,10.0,0.0,2023-01-07,2.0,273.75
21,100021,Hair Care,Hair Oil,2,35.65,47,962,2025-02-09,10,Google Pay,,,The Americana at Brand,Glendale,California,US,Sara,Goodwin,Other,50.0,1974-03-19,lhanson@weber-lamb.org,001-344-059-5150x91018,1.0,1371.0,8.0,0.0,2022-11-24,50.0,195.4
22,100022,Body Care and Hygiene,Hand Sanitizer,2,12.85,32,244,2023-01-21,5,Debit Card - MasterCard,MasterCard,,International Plaza and Bay Street,Tampa,Florida,US,Shane,Morris,Male,52.0,1972-08-30,adam83@yahoo.com,001-369-535-6015,1.0,988.0,5.0,1.0,2023-01-11,30.0,111.36
23,100023,Body Care and Hygiene,Deodorant,4,11.58,32,597,2020-07-06,8,BNPL (Buy Now, Pay Later),,International Plaza and Bay Street,Tampa,Florida,US,Kimberly,Fischer,Female,49.0,1975-11-09,theresa04@rios.info,566-828-8551,1.0,662.0,9.0,1.0,2022-01-23,44.0,199.2
24,100024,Body Care and Hygiene,Hand Sanitizer,2,5.37,3,883,2024-06-20,10,Google Pay,,,Westfield London,London,England,UK,Kelly,Davis,Male,59.0,1965-03-12,greenedaniel@nichols.com,001-042-174-1458x70511,0.0,227.0,10.0,0.0,2024-03-23,12.0,178.82
25,100025,Oral Care,Mouthwash,2,19.96,4,829,2024-11-11,6,PayPal,,,Trafford Centre,Manchester,England,UK,Danielle,Ayala,Female,67.0,1957-05-13,nancyparks@tran-morris.info,278-514-1911,1.0,428.0,9.0,1.0,2020-03-28,35.0,304.53
26,100026,Body Care and Hygiene,Hand Sanitizer,4,12.12,60,327,2024-06-26,9,Apple Pay,,,Stonebriar Centre,Frisco,Texas,US,Mitchell,Morris,Female,54.0,1970-11-01,ggraham@gmail.com,(779)030-1070x82312,1.0,400.0,4.0,1.0,2021-06-13,10.0,421.83
27,100027,Hair Care,Shampoo,2,42.19,47,335,2020-07-18,8,BNPL (Buy Now, Pay Later),,The Americana at Brand,Glendale,California,US,Stephanie,Adams,Male,57.0,1967-11-17,michael47@heath-smith.com,090-413-6544,0.0,101.0,6.0,1.0,2021-01-01,22.0,343.92
28,100028,Oral Care,Toothpaste,2,7.73,37,514,2021-11-14,6,PayPal,,,Bloor-Yorkville,Toronto,Ontario,Canada,Tony,Duke,Female,39.0,1985-07-03,morrowdavid@gmail.com,(281)265-0299x8303,0.0,635.0,6.0,0.0,2024-09-20,35.0,333.68
29,100029,Skin Care,Lip Balm,4,11.53,19,919,2024-09-02,8,BNPL (Buy Now, Pay Later),,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Susan,Stevenson,Male,54.0,1970-10-10,jmyers@yahoo.com,935.134.0938,0.0,33.0,6.0,0.0,2024-12-02,20.0,465.13
30,100030,Skin Care,Lip Balm,1,10.28,31,379,2020-08-26,2,Credit Card - MasterCard,MasterCard,,Cherry Creek Shopping Center,Denver,Colorado,US,Kelly,Jones,Female,68.0,1957-01-27,jeremy21@gmail.com,+1-042-481-8612,0.0,1063.0,1.0,1.0,2021-08-17,32.0,409.54
31,100031,Body Care and Hygiene,Hand Sanitizer,4,7.83,26,37,2022-09-23,8,BNPL (Buy Now, Pay Later),,Easton Town Center,Columbus,Ohio,US,Kayla,Holland,Male,70.0,1954-06-17,shane45@gonzalez-campos.biz,(995)165-0107x35948,1.0,368.0,2.0,0.0,2020-04-27,50.0,112.07
32,100032,Hair Care,Shampoo,2,17.87,26,303,2020-08-11,5,Debit Card - MasterCard,MasterCard,,Easton Town Center,Columbus,Ohio,US,Meagan,Brown,Male,55.0,1969-12-28,watkinscynthia@young.net,580.038.0277x06911,1.0,1416.0,7.0,0.0,2024-09-13,5.0,464.56
33,100033,Hair Care,Conditioner,1,25.65,33,715,2024-03-10,5,Debit Card - MasterCard,MasterCard,,Bellevue Square,Bellevue,Washington,US,William,Hines,Male,54.0,1970-11-28,brianwilson@walker.com,+1-969-938-5816x0277,0.0,772.0,6.0,0.0,2021-10-14,24.0,380.9
34,100034,Skin Care,Lip Balm,2,62.69,32,124,2024-06-07,1,Credit Card - Visa,Visa,,International Plaza and Bay Street,Tampa,Florida,US,Edward,Hernandez,Other,30.0,1994-05-28,murrayemily@yahoo.com,449.915.5604,0.0,580.0,10.0,0.0,2023-01-27,31.0,400.09
35,100035,Skin Care,Lip Balm,3,49.31,51,889,2023-01-07,1,Credit Card - Visa,Visa,,CambridgeSide,Cambridge,Massachusetts,US,Karen,Jennings,Female,42.0,1982-04-01,jameswhite@yahoo.com,+1-427-899-5516,0.0,1027.0,7.0,0.0,2021-09-08,20.0,236.42
36,100036,Oral Care,Toothpaste,4,17.74,49,649,2021-03-12,8,BNPL (Buy Now, Pay Later),,NorthPark Center,Dallas,Texas,US,Louis,Martin,Female,63.0,1961-12-29,valerie39@brown.biz,5678744863,0.0,910.0,8.0,0.0,2022-01-04,29.0,489.65
37,100037,Skin Care,Face Wash,4,27.08,10,520,2024-09-18,5,Debit Card - MasterCard,MasterCard,,South Coast Plaza,Costa Mesa,California,US,Mark,Brewer,Other,33.0,1991-06-05,bkennedy@barnes.org,3377264547,0.0,1648.0,2.0,1.0,2024-02-02,35.0,417.26
38,100038,Body Care and Hygiene,Body Lotion,3,24.64,5,234,2024-08-29,6,PayPal,,,King of Prussia Mall,Philadelphia,Pennsylvania,US,Jason,Collins,Other,50.0,1974-10-01,megan81@yahoo.com,540.038.1737x69835,0.0,1689.0,7.0,1.0,2024-12-20,39.0,467.33
39,100039,Body Care and Hygiene,Body Lotion,4,13.93,12,331,2022-06-20,2,Credit Card - MasterCard,MasterCard,,Metrocentre,Gateshead,Tyne and Wear,UK,Johnny,Moore,Female,21.0,2003-02-27,stephen00@hotmail.com,8082106708,0.0,547.0,8.0,0.0,2020-07-07,1.0,369.82
40,100040,Hair Care,Conditioner,2,46.87,46,791,2022-03-06,9,Apple Pay,,,Park Meadows,Lone Tree,Colorado,US,Patrick,Ingram,Female,27.0,1997-06-16,jeffersondawn@yahoo.com,335-378-3925x9838,1.0,1226.0,2.0,1.0,2020-01-23,5.0,280.29
41,100041,Body Care and Hygiene,Deodorant,1,16.56,5,131,2022-03-08,9,Apple Pay,,,King of Prussia Mall,Philadelphia,Pennsylvania,US,Daniel,Gomez,Female,56.0,1969-01-12,corey39@yahoo.com,001-327-959-4060x7237,0.0,176.0,3.0,0.0,2021-01-01,11.0,323.96
42,100042,Body Care and Hygiene,Body Lotion,4,24.87,4,911,2024-05-17,8,BNPL (Buy Now, Pay Later),,Trafford Centre,Manchester,England,UK,Danielle,Swanson,Female,69.0,1955-07-12,joannabrooks@miller.net,(314)538-8264x98791,1.0,1182.0,2.0,1.0,2024-10-17,44.0,459.03
43,100043,Skin Care,Sunscreen,4,43.14,19,675,2022-11-03,7,Cash,,,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Deborah,Sanchez,Male,26.0,1998-10-04,hayescourtney@yahoo.com,(848)769-2427x5234,0.0,1729.0,7.0,0.0,2020-04-02,44.0,84.18
44,100044,Body Care and Hygiene,Deodorant,3,26.93,35,404,2024-06-14,10,Google Pay,,,Bayshore Shopping Centre,Ottawa,Ontario,Canada,David,Avila,Other,70.0,1955-01-23,deanpennington@gmail.com,(593)405-1930x43903,0.0,617.0,4.0,1.0,2024-07-06,45.0,18.07
45,100045,Oral Care,Mouthwash,1,14.64,32,496,2022-04-25,3,Credit Card - AMEX,AMEX,,International Plaza and Bay Street,Tampa,Florida,US,Danielle,Perkins,Other,68.0,1956-10-26,clifford85@gmail.com,(596)879-4553,1.0,1270.0,1.0,0.0,2022-12-18,34.0,457.11
46,100046,Hair Care,Conditioner,4,45.04,12,735,2021-05-18,1,Credit Card - Visa,Visa,,Metrocentre,Gateshead,Tyne and Wear,UK,Joshua,Johnson,Other,53.0,1971-05-20,alexanderraymond@yahoo.com,(308)322-3424,0.0,1.0,1.0,1.0,2021-08-23,16.0,14.27
47,100047,Skin Care,Face Wash,1,77.83,22,127,2023-10-17,2,Credit Card - MasterCard,MasterCard,,Tysons Corner Center,McLean,Virginia,US,Erin,Henson,Other,48.0,1976-11-03,antonio94@yahoo.com,4379145001,0.0,1712.0,4.0,1.0,2020-08-12,32.0,428.46
48,100048,Oral Care,Toothpaste,2,4.29,58,969,2023-01-14,4,Debit Card - Visa,Visa,,Town Center at Boca Raton,Boca Raton,Florida,US,Robert,Skinner,Female,62.0,1962-03-13,paige52@miller.biz,3275017730,0.0,1696.0,8.0,0.0,2022-08-02,47.0,80.45
49,100049,Hair Care,Conditioner,1,41.97,29,424,2022-07-11,3,Credit Card - AMEX,AMEX,,The Mall at Millenia,Orlando,Florida,US,Bryan,Beck,Male,63.0,1962-01-07,nicholswarren@walker.com,(501)552-1500x699,0.0,1285.0,3.0,1.0,2021-06-13,29.0,297.43
50,100050,Body Care and Hygiene,Hand Sanitizer,1,12.66,38,337,2021-02-10,10,Google Pay,,,The Shops at La Cantera,San Antonio,Texas,US,Jill,Fox,Male,60.0,1964-10-01,angelamiller@smith.com,187.632.8975x3032,0.0,1520.0,6.0,0.0,2021-05-12,5.0,267.55
51,100051,Body Care and Hygiene,Hand Sanitizer,1,17.89,16,354,2022-02-20,10,Google Pay,,,The Oracle,Reading,Berkshire,UK,Jeremy,Wilson,Female,48.0,1976-12-08,tnielsen@walters-miller.com,786.496.5995x263,1.0,569.0,8.0,1.0,2021-02-22,50.0,419.49
52,100052,Body Care and Hygiene,Body Lotion,2,10.88,10,344,2022-06-26,7,Cash,,,South Coast Plaza,Costa Mesa,California,US,Kyle,Bennett,Other,28.0,1996-05-02,alan17@yahoo.com,0557839995,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3
53,100053,Skin Care,Sunscreen,2,98.3,8,579,2024-08-11,6,PayPal,,,Bluewater Shopping Centre,Dartford,Kent,UK,Roger,Forbes,Other,65.0,1960-01-20,patricia21@howard.com,001-771-372-2128x51234,0.0,190.0,9.0,0.0,2021-12-02,43.0,440.82
54,100054,Skin Care,Moisturizer,4,74.46,3,81,2021-07-10,2,Credit Card - MasterCard,MasterCard,,Westfield London,London,England,UK,Scott,Bishop,Other,28.0,1997-01-30,bennettmatthew@simpson.info,726.570.9248x2172,0.0,212.0,8.0,1.0,2020-09-27,45.0,479.04
55,100055,Body Care and Hygiene,Deodorant,1,15.96,43,857,2022-10-02,4,Debit Card - Visa,Visa,,The Domain,Austin,Texas,US,Connie,James,Female,20.0,2004-09-20,shawnhughes@yahoo.com,+1-202-074-3352,0.0,266.0,8.0,1.0,2022-08-09,13.0,177.87
56,100056,Skin Care,Lip Balm,3,30.45,40,605,2020-06-03,3,Credit Card - AMEX,AMEX,,Perimeter Mall,Atlanta,Georgia,US,Jason,Bell,Female,49.0,1975-11-22,brownrhonda@hotmail.com,531.217.5685x6523,1.0,1408.0,7.0,1.0,2022-02-17,14.0,78.18
57,100057,Body Care and Hygiene,Hand Sanitizer,3,16.09,33,208,2020-11-26,7,Cash,,,Bellevue Square,Bellevue,Washington,US,Steven,Davidson,Other,34.0,1990-06-03,olivia09@hotmail.com,197-869-8543x64729,1.0,1192.0,1.0,0.0,2022-01-11,39.0,230.61
58,100058,Skin Care,Lip Balm,3,80.08,15,627,2022-02-01,7,Cash,,,Meadowhall,Sheffield,South Yorkshire,UK,Kenneth,Weaver,Other,69.0,1955-08-07,martha35@medina.info,820-545-9679x1530,1.0,522.0,8.0,1.0,2023-05-04,29.0,171.98
59,100059,Hair Care,Shampoo,4,20.61,11,519,2020-01-09,6,PayPal,,,Roosevelt Field,Garden City,New York,US,Nancy,Osborne,Other,64.0,1960-11-20,thompsonchristopher@pennington.biz,210-485-1654x23376,0.0,887.0,5.0,0.0,2020-09-03,39.0,311.33
60,100060,Oral Care,Toothpaste,4,12.74,28,239,2024-09-14,4,Debit Card - Visa,Visa,,Dolphin Mall,Miami,Florida,US,Joshua,Taylor,Male,29.0,1996-02-11,carrie11@hotmail.com,001-214-909-4560x4406,1.0,688.0,5.0,0.0,2021-07-19,49.0,407.01
61,100061,Hair Care,Hair Oil,2,30.95,28,344,2022-05-24,1,Credit Card - Visa,Visa,,Dolphin Mall,Miami,Florida,US,Kyle,Bennett,Other,28.0,1996-05-02,alan17@yahoo.com,0557839995,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3
62,100062,Oral Care,Mouthwash,1,9.97,41,714,2022-02-19,9,Apple Pay,,,Stanford Shopping Center,Palo Alto,California,US,Jason,Russell,Male,31.0,1993-10-13,sarah08@maldonado.com,(773)617-2028,1.0,103.0,5.0,0.0,2020-09-25,6.0,248.73
63,100063,Skin Care,Moisturizer,4,39.87,13,139,2020-07-04,6,PayPal,,,The Grove,Los Angeles,California,US,Scott,Morse,Other,49.0,1975-05-22,zdavila@gmail.com,5767431573,1.0,1232.0,7.0,0.0,2022-11-28,26.0,480.51
64,100064,Hair Care,Hair Oil,1,13.6,33,694,2020-10-12,9,Apple Pay,,,Bellevue Square,Bellevue,Washington,US,Lori,Hicks,Male,55.0,1969-10-02,mitchellkevin@gmail.com,838-513-3310x173,0.0,22.0,10.0,0.0,2021-11-12,20.0,237.96
65,100065,Body Care and Hygiene,Body Lotion,3,5.08,20,729,2024-01-22,1,Credit Card - Visa,Visa,,The Trafford Centre,Manchester,Greater Manchester,UK,Crystal,Nelson,Female,22.0,2002-03-24,jennifer35@gmail.com,001-798-040-3582x112,0.0,229.0,6.0,0.0,2023-10-12,33.0,33.42
66,100066,Body Care and Hygiene,Body Lotion,3,12.16,59,753,2021-08-04,6,PayPal,,,The Streets at Southpoint,Durham,North Carolina,US,Timothy,Brady,Male,66.0,1958-05-30,timothy72@yahoo.com,057-851-1719,1.0,1379.0,4.0,1.0,2023-06-10,7.0,409.19
67,100067,Skin Care,Face Wash,4,79.99,25,558,2022-01-29,4,Debit Card - Visa,Visa,,Lenox Square,Atlanta,Georgia,US,Mallory,Gross,Other,24.0,2000-07-02,sanchezsarah@lawrence.com,362.495.3219,1.0,345.0,3.0,1.0,2022-06-24,14.0,438.46
68,100068,Skin Care,Sunscreen,2,34.68,8,781,2022-05-02,10,Google Pay,,,Bluewater Shopping Centre,Dartford,Kent,UK,James,Montgomery,Female,56.0,1968-05-07,johnparker@hotmail.com,(612)576-4311,0.0,51.0,5.0,1.0,2024-01-23,12.0,379.59
69,100069,Skin Care,Face Wash,2,20.4,40,149,2024-07-06,5,Debit Card - MasterCard,MasterCard,,Perimeter Mall,Atlanta,Georgia,US,Kathy,Moore,Other,31.0,1993-05-04,wattsalexander@williams.com,584.099.4991x577,1.0,1291.0,7.0,0.0,2022-10-26,50.0,280.97
70,100070,Oral Care,Mouthwash,3,13.76,49,344,2022-10-14,6,PayPal,,,NorthPark Center,Dallas,Texas,US,Kyle,Bennett,Other,28.0,1996-05-02,alan17@yahoo.com,0557839995,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3
71,100071,Body Care and Hygiene,Body Lotion,1,6.67,11,341,2021-06-15,6,PayPal,,,Roosevelt Field,Garden City,New York,US,Wesley,Marquez,Female,69.0,1955-07-25,nkeller@frye.com,001-272-471-3816,0.0,535.0,2.0,1.0,2024-08-16,15.0,24.7
72,100072,Oral Care,Mouthwash,4,10.9,12,598,2020-01-10,2,Credit Card - MasterCard,MasterCard,,Metrocentre,Gateshead,Tyne and Wear,UK,Michael,Adams,Male,28.0,1997-02-09,davidmitchell@gonzalez-green.org,353.786.0519x573,1.0,1625.0,1.0,0.0,2023-03-08,2.0,334.09
73,100073,Body Care and Hygiene,Hand Sanitizer,1,13.11,15,68,2022-10-06,5,Debit Card - MasterCard,MasterCard,,Meadowhall,Sheffield,South Yorkshire,UK,Natasha,Wright,Female,56.0,1968-09-08,bonnie30@nielsen.com,001-382-017-6520x818,0.0,1010.0,6.0,0.0,2024-06-26,24.0,395.23
74,100074,Body Care and Hygiene,Hand Sanitizer,1,28.75,3,414,2022-07-18,5,Debit Card - MasterCard,MasterCard,,Westfield London,London,England,UK,Erik,Pierce,Male,53.0,1971-05-14,swansonchristopher@yahoo.com,082.864.3550x9440,0.0,30.0,6.0,1.0,2024-08-18,20.0,100.75
75,100075,Body Care and Hygiene,Body Lotion,3,13.24,59,939,2024-11-03,6,PayPal,,,The Streets at Southpoint,Durham,North Carolina,US,Daniel,Collins,Female,18.0,2007-02-10,vanessajohnson@clark-acevedo.net,904.636.1191,1.0,898.0,6.0,1.0,2024-05-02,4.0,472.45
76,100076,Oral Care,Mouthwash,2,6.29,31,489,2024-03-07,9,Apple Pay,,,Cherry Creek Shopping Center,Denver,Colorado,US,Brittany,Hall,Other,70.0,1954-12-22,beckmarcus@perez-snyder.net,071-878-6189x23348,1.0,610.0,3.0,1.0,2023-03-23,1.0,5.01
77,100077,Hair Care,Shampoo,4,26.4,60,586,2021-05-07,9,Apple Pay,,,Stonebriar Centre,Frisco,Texas,US,Mariah,Dunn,Female,36.0,1988-08-04,xfernandez@yahoo.com,001-869-059-2402x30677,1.0,862.0,10.0,0.0,2023-01-07,2.0,273.75
78,100078,Hair Care,Conditioner,4,7.14,23,276,2024-05-01,5,Debit Card - MasterCard,MasterCard,,Palisades Center,West Nyack,New York,US,Andrew,Valdez,Other,63.0,1961-12-31,joseph16@beard.com,985-278-0055,1.0,782.0,2.0,1.0,2022-03-16,26.0,352.41
79,100079,Hair Care,Conditioner,3,13.68,35,708,2024-05-06,9,Apple Pay,,,Bayshore Shopping Centre,Ottawa,Ontario,Canada,Jonathan,Pennington,Other,18.0,2006-10-09,rachel83@marsh.biz,513-205-4217,0.0,1155.0,9.0,1.0,2020-03-18,50.0,63.2
80,100080,Hair Care,Conditioner,4,10.33,47,640,2022-05-05,1,Credit Card - Visa,Visa,,The Americana at Brand,Glendale,California,US,Shawn,Webster,Other,19.0,2005-11-14,tyler06@hotmail.com,+1-669-522-1428x62010,1.0,358.0,7.0,1.0,2025-01-06,25.0,93.72
81,100081,Skin Care,Sunscreen,1,41.38,18,63,2023-04-01,2,Credit Card - MasterCard,MasterCard,,Arndale Centre,Manchester,Greater Manchester,UK,Dustin,Turner,Other,44.0,1980-07-14,smithbrian@hotmail.com,9709656457,0.0,506.0,5.0,0.0,2024-04-07,15.0,452.03
82,100082,Skin Care,Face Wash,3,15.88,58,455,2023-04-09,8,BNPL (Buy Now, Pay Later),,Town Center at Boca Raton,Boca Raton,Florida,US,Aimee,Warren,Other,69.0,1955-11-16,stephanie27@trujillo.net,932-175-1722,0.0,491.0,10.0,0.0,2024-03-06,26.0,451.04
83,100083,Body Care and Hygiene,Body Lotion,3,29.95,2,807,2024-04-04,6,PayPal,,,The Galleria,Houston,Texas,US,Daniel,Ramos,Other,23.0,2002-01-16,davisdebra@wilson-anderson.com,8667357421,0.0,1753.0,7.0,1.0,2023-03-09,41.0,112.39
84,100084,Skin Care,Lip Balm,2,30.06,31,887,2023-02-16,8,BNPL (Buy Now, Pay Later),,Cherry Creek Shopping Center,Denver,Colorado,US,Jeremy,White,Male,70.0,1954-06-02,donnagibson@williams.com,309-558-2972,1.0,1075.0,4.0,0.0,2021-11-26,10.0,78.52
85,100085,Skin Care,Moisturizer,1,10.73,35,785,2021-12-30,3,Credit Card - AMEX,AMEX,,Bayshore Shopping Centre,Ottawa,Ontario,Canada,Harry,Nguyen,Other,49.0,1975-09-01,emcknight@hotmail.com,+1-299-395-4612x078,0.0,1225.0,1.0,1.0,2021-11-26,18.0,425.66
86,100086,Hair Care,Hair Oil,1,23.81,46,824,2024-01-19,2,Credit Card - MasterCard,MasterCard,,Park Meadows,Lone Tree,Colorado,US,Melissa,Copeland,Male,43.0,1981-03-11,victor08@hotmail.com,+1-894-522-4886x1817,0.0,1072.0,5.0,0.0,2024-09-04,26.0,95.03
87,100087,Body Care and Hygiene,Deodorant,3,7.8,53,402,2024-08-30,5,Debit Card - MasterCard,MasterCard,,SouthPark,Charlotte,North Carolina,US,Kristin,Dodson,Other,23.0,2001-06-15,jennifer22@hotmail.com,080.982.4561x47997,0.0,408.0,7.0,1.0,2021-03-24,28.0,172.55
88,100088,Body Care and Hygiene,Body Lotion,1,7.47,34,725,2020-06-12,6,PayPal,,,The Shops at Columbus Circle,New York,New York,US,Claire,Ibarra,Male,40.0,1985-02-18,peterbryan@kim.com,+1-724-572-4669,1.0,680.0,3.0,0.0,2022-05-24,44.0,449.56
89,100089,Skin Care,Sunscreen,4,99.93,54,72,2020-04-01,1,Credit Card - Visa,Visa,,Westfield Century City,Los Angeles,California,US,David,Lewis,Other,55.0,1969-07-01,tbartlett@walton-fisher.info,7358737621,1.0,73.0,8.0,1.0,2024-12-14,43.0,97.51
90,100090,Body Care and Hygiene,Body Lotion,2,20.74,13,571,2024-02-12,2,Credit Card - MasterCard,MasterCard,,The Grove,Los Angeles,California,US,Greg,White,Female,54.0,1970-05-02,charles36@contreras-hamilton.com,663-851-9180,0.0,1474.0,1.0,0.0,2024-05-02,6.0,76.39
